1,Roddy Ricch,The Box
2,Roddy Ricch,Start wit Me (feat. Gunna)
3,Juice WRLD & YoungBoy Never Broke Again,Bandit
4,Roddy Ricch,Peta (feat. Meek Mill)
5,Juice WRLD,Lucid Dreams
6,DaBaby,BOP
7,Lil Baby,Woah
8,Roddy Ricch,Tip Toe (feat. A Boogie wit da Hoodie)
9,Roddy Ricch,Moonwalkin (feat. Lil Durk)
10,Roddy Ricch,High Fashion (feat. Mustard)
11,The Weeknd,Heartless
12,Roddy Ricch,Big Stepper
13,Roddy Ricch,Perfect Time
14,Mustard,Ballinâ (feat. Roddy Ricch)
15,Juice WRLD,Legends
16,Trippie Redd,6 Kiss (feat. Juice WRLD & YNW Melly)
17,Juice WRLD,Robbery
18,Juice WRLD,All Girls Are the Same
19,Roddy Ricch,Bacc Seat (feat. Ty Dolla $ign)
20,Arizona Zervas,ROXANNE
21,Roddy Ricch,Intro
22,Roddy Ricch,Boom Boom Room
23,Travis Scott,HIGHEST IN THE ROOM
24,Trevor Daniel,Falling
25,Roddy Ricch,Gods Eyes
26,The Weeknd,Blinding Lights
27,YNW Melly,Suicidal
28,DaBaby,VIBEZ
29,Roddy Ricch,War Baby
30,Chris Brown,No Guidance (feat. Drake)
31,Billie Eilish,everything i wanted
32,Roddy Ricch,Roll Dice
33,Post Malone,Circles
34,Juice WRLD,Lean Wit Me
35,"Quality Control, Lil Baby & DaBaby",Baby
36,Harry Styles,Adore You
37,Don Toliver,No Idea
38,YoungBoy Never Broke Again,Make No Sense
39,Mariah Carey,All I Want For Christmas Is You
40,Trippie Redd,Death (feat. DaBaby)
41,Summer Walker & Bryson Tiller,Playing Games (Extended Version)
42,Roddy Ricch,Prayers to the Trap God
43,Trippie Redd,Who Needs Love
44,Trippie Redd,Hate Me (feat. YoungBoy Never Broke Again)
45,Tones and I,Dance Monkey
46,Bad Bunny,Vete
47,YoungBoy Never Broke Again,Hot Now
48,Selena Gomez,Lose You to Love Me
49,Juice WRLD,Empty
50,Tory Lanez & T-Pain,Jerry Sprunger
51,DaBaby,TOES (feat. Lil Baby & Moneybagg Yo)
52,Lewis Capaldi,Someone You Loved
53,Summer Walker & Usher,Come Thru
54,Camila Cabello,My Oh My (feat. DaBaby)
55,Juice WRLD,Armed and Dangerous
56,Summer Walker,I'll Kill You (feat. JhenÃ© Aiko)
57,Roddy Ricch,Elyse's Skit
58,Rod Wave,Heart On Ice
59,Post Malone & Swae Lee,Sunflower (Spider-Man: Into the Spider-Verse)
60,Young Thug,Hot (feat. Gunna)
61,Drake,Money In The Grave (feat. Rick Ross)
62,DaBaby,Suge
63,XXXTENTACION,bad vibes forever (feat. PnB Rock & Trippie Redd)
64,Juice WRLD,Let Me Know (I Wonder Why Freestyle)
65,Juice WRLD,Wasted (feat. Lil Uzi Vert)
66,Dan + Shay & Justin Bieber,"10,000 Hours"
67,YoungBoy Never Broke Again,Self Control
68,YoungBoy Never Broke Again,Lonely Child
69,Juice WRLD,Hear Me Calling
70,YNW Melly,223's (feat. 9lokknine)
71,blackbear,hot girl bummer
72,Rod Wave,Cuban Links (feat. Kevin Gates)
73,Post Malone,Goodbyes (feat. Young Thug)
74,Summer Walker,Body
75,Rod Wave,Sky Priority
76,Young Thug,Hot (Remix) [feat. Gunna and Travis Scott]
77,Maroon 5,Memories
78,Trippie Redd,Love Me More
79,Young Thug,The London (feat. J. Cole & Travis Scott)
80,Chris Brown,Heat (feat. Gunna)
81,Lil Tjay,F.N
82,Dua Lipa,Don't Start Now
83,Rod Wave,Green Light
84,Harry Styles,Watermelon Sugar
85,Young Thug,Bad Bad Bad (feat. Lil Baby)
86,DaBaby,INTRO
87,Lizzo,Truth Hurts
88,XXXTENTACION,Ex Bitch
89,PARTYNEXTDOOR,Loyal (feat. Drake)
90,A Boogie wit da Hoodie,Reply (feat. Lil Uzi Vert)
91,Wale,On Chill (feat. Jeremih)
92,Rod Wave,Dark Conversations
93,Lil Baby & Gunna,Drip Too Hard
94,JhenÃ© Aiko,None of Your Concern (feat. Big Sean)
95,Billie Eilish,bad guy
96,Juice WRLD,Black & White
97,Rod Wave,Close Enough to Hurt
98,YoungBoy Never Broke Again,Ranada
99,Russ & BIA,BEST ON EARTH
100,Post Malone,Take What You Want (feat. Ozzy Osbourne & Travis Scott)
101,Fabolous,Talk to Me Nicely (feat. Meek Mill)
102,Megan Thee Stallion,Cash S**t (feat. DaBaby)
103,Future & Juice WRLD,Fine China
104,Summer Walker,Stretch You Out (feat. A Boogie wit da Hoodie)
105,Halsey,Graveyard
106,Post Malone,Wow.
107,21 Savage,Immortal
108,Kanye West,Follow God
109,Diplo,Heartless (feat. Morgan Wallen)
110,Juice WRLD,Fast
111,Post Malone,Enemies (feat. DaBaby)
112,Rod Wave,Poison
113,Tory Lanez,The Take (feat. Chris Brown)
114,Rod Wave,Brace Face
115,JP Saxe,If the World Was Ending (feat. Julia Michaels)
116,Ellie Goulding & Juice WRLD,Hate Me
117,Travis Scott,SICKO MODE
118,Idina Menzel & AURORA,Into the Unknown
119,H.E.R.,Slide (feat. YG)
120,Meek Mill,Going Bad (feat. Drake)
121,Michael BublÃ©,It's Beginning To Look a Lot Like Christmas
122,Lil Mosey,Stuck in a Dream (feat. Gunna)
123,Lil Tecca & Juice WRLD,Ransom (Remix)
124,NLE Choppa,Camelot
125,Shawn Mendes & Camila Cabello,SeÃ±orita
126,Summer Walker,Playing Games
127,JayDaYoungan,23 Island
128,Polo G,Pop Out (feat. Lil Tjay)
129,Lil Baby & Drake,Yes Indeed
130,Summer Walker,Drunk Dialing...LODT
131,"Summer Walker, London On Da Track & Chris Brown",Something Real
132,Harry Styles,Lights Up
133,Wham!,Last Christmas (Single Version)
134,Only The Family & Lil Durk,Career Day (feat. Polo G)
135,Lil Nas X & DaBaby,Panini (DaBaby Remix)
136,J Balvin & Bad Bunny,LA CANCIÃN
137,Summer Walker & Drake,Girls Need Love (Remix)
138,Billie Eilish,when the party's over
139,Old Dominion,One Man Band
140,Trippie Redd,Love Sick
141,Kaash Paige,Love Songs (Bonus)
142,Rod Wave,Heart On Ice (feat. Lil Durk) [Remix]
143,Juice WRLD,Feeling
144,benny blanco & Juice WRLD,Graduation
145,Bobby Helms,Jingle Bell Rock
146,YoungBoy Never Broke Again,Rich As Hell
147,Juice WRLD,Maze
148,Lil Tecca,Ransom
149,J. Cole,MIDDLE CHILD
150,Ant Saunders,Yellow Hearts
151,Future,Last Name (feat. Lil Durk)
152,YNW Melly,Murder on My Mind
153,Bad Bunny & Tainy,Callaita
154,A Boogie wit da Hoodie,Swervin (feat. 6ix9ine)
155,"Internet money, Lil Tecca & A Boogie wit da Hoodie",Somebody
156,DaBaby,Baby Sitter (feat. Offset)
157,Summer Walker,Over It
158,NLE Choppa,Famous Hoes
159,Fabolous,Cap (feat. Lil Durk)
160,Luke Combs,Even Though I'm Leaving
161,Flipp Dinero,How I Move (feat. Lil Baby)
162,Post Malone,Hollywood's Bleeding
163,Summer Walker,Tonight
164,Gabby Barrett,I Hope
165,Lil Nas X,Old Town Road (feat. Billy Ray Cyrus) [Remix]
166,Summer Walker & PARTYNEXTDOOR,Just Might
167,YoungBoy Never Broke Again,In Control
168,Khalid,Better
169,Post Malone,Die For Me (feat. Future & Halsey)
170,DaniLeigh,Easy (Remix) [feat. Chris Brown]
171,Summer Walker,Potential
172,Camila Cabello,Living Proof
173,Luke Combs,Beautiful Crazy
174,Khalid,Talk
175,YoungBoy Never Broke Again,Slime Mentality
176,Pentatonix,Hallelujah
177,Juice WRLD,Hide (feat. Seezyn)
178,Baby Keem,ORANGE SODA
