1,Arizona Zervas,ROXANNE,"1,362,689"
2,Juice WRLD,Bandit (with YoungBoy Never Broke Again),"1,325,619"
3,Juice WRLD,Lucid Dreams,"1,278,488"
4,Post Malone,Circles,"1,271,062"
5,Trevor Daniel,Falling,"1,004,781"
6,DaBaby,BOP,"969,402"
7,Juice WRLD,Robbery,"964,587"
8,The Weeknd,Heartless,"948,052"
9,Travis Scott,HIGHEST IN THE ROOM,"938,162"
10,Harry Styles,Adore You,"901,653"
11,Billie Eilish,everything i wanted,"899,586"
12,The Weeknd,Blinding Lights,"880,221"
13,Tones and I,Dance Monkey,"841,046"
14,Mariah Carey,All I Want for Christmas Is You,"835,247"
15,Lewis Capaldi,Someone You Loved,"811,259"
16,Juice WRLD,All Girls Are The Same,"779,049"
17,Juice WRLD,Legends,"776,020"
18,Post Malone,Sunflower - Spider-Man: Into the Spider-Verse,"756,039"
19,Brenda Lee,Rockin' Around The Christmas Tree,"722,961"
20,blackbear,hot girl bummer,"704,183"
21,Bobby Helms,Jingle Bell Rock,"700,744"
22,Ariana Grande,Santa Tell Me,"652,510"
23,Ellie Goulding,Hate Me (with Juice WRLD),"646,533"
24,Maroon 5,Memories,"634,096"
25,Selena Gomez,Lose You To Love Me,"623,009"
26,Billie Eilish,bad guy,"621,484"
27,Camila Cabello,My Oh My (feat. DaBaby),"619,442"
28,Andy Williams,It's the Most Wonderful Time of the Year,"617,581"
29,Juice WRLD,Lean Wit Me,"608,085"
30,Harry Styles,Watermelon Sugar,"607,136"
31,Mustard,Ballin' (with Roddy Ricch),"595,899"
32,Juice WRLD,Armed And Dangerous,"593,854"
33,Wham!,Last Christmas,"593,260"
34,Dua Lipa,Don't Start Now,"591,843"
35,Lizzo,Truth Hurts,"573,954"
36,Lil Baby,Woah,"571,736"
37,Lil Tecca,Ransom,"570,864"
38,DaBaby,Suge,"558,050"
39,Juice WRLD,Let Me Know (I Wonder Why Freestyle),"555,647"
40,YNW Melly,223's (feat. 9lokknine),"553,358"
41,Shawn Mendes,Señorita,"539,385"
42,Post Malone,Goodbyes (Feat. Young Thug),"533,267"
43,Nat King Cole,The Christmas Song (Merry Christmas To You),"532,726"
44,DaBaby,VIBEZ,"532,693"
45,Chris Brown,No Guidance (feat. Drake),"530,419"
46,Michael Bublé,It's Beginning to Look a Lot like Christmas,"527,841"
47,Burl Ives,A Holly Jolly Christmas - Single Version,"527,366"
48,Lil Tecca,Ransom (with Juice WRLD) - Remix,"522,925"
49,Justin Bieber,Mistletoe,"520,373"
50,Don Toliver,No Idea,"506,776"
51,Drake,Money In The Grave (Drake ft. Rick Ross),"501,707"
52,Roddy Ricch,Start Wit Me (feat. Gunna),"497,030"
53,Post Malone,Wow.,"495,722"
54,Post Malone,Take What You Want (feat. Ozzy Osbourne & Travis Scott),"495,298"
55,Roddy Ricch,Tip Toe (feat. A Boogie Wit da Hoodie),"493,627"
56,Roddy Ricch,The Box,"493,216"
57,Lil Mosey,Stuck In A Dream (feat. Gunna),"486,882"
58,Dan + Shay,"10,000 Hours (with Justin Bieber)","480,582"
59,Young Thug,Hot (Remix) [feat. Gunna and Travis Scott],"480,537"
60,J. Cole,MIDDLE CHILD,"477,093"
61,Michael Bublé,Holly Jolly Christmas,"473,048"
62,Trippie Redd,Death,"465,674"
63,Roddy Ricch,Peta (feat. Meek Mill),"459,629"
64,Bing Crosby,White Christmas,"455,791"
65,Bad Bunny,Vete,"452,257"
66,NLE Choppa,Camelot,"447,308"
67,benny blanco,Graduation (with Juice WRLD),"446,241"
68,Trippie Redd,6 Kiss,"444,746"
69,Frank Sinatra,Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet),"438,521"
70,Billie Eilish,when the party's over,"433,827"
71,Ariana Grande,7 rings,"422,223"
72,Juice WRLD,Black & White,"421,841"
73,José Feliciano,Feliz Navidad,"420,776"
74,Quality Control,Baby (Lil Baby feat. DaBaby),"414,223"
75,Ed Sheeran,Beautiful People (feat. Khalid),"412,908"
76,Paul McCartney,Wonderful Christmastime [Edited Version] - Remastered 2011 / Edited Version,"412,616"
77,Idina Menzel,Into the Unknown,"411,759"
78,Kelly Clarkson,Underneath the Tree,"409,949"
79,Ant Saunders,Yellow Hearts,"409,042"
80,Harry Styles,Lights Up,"405,710"
81,XXXTENTACION,bad vibes forever,"402,964"
82,Joji,SLOW DANCING IN THE DARK,"398,178"
83,Young Thug,The London (feat. J. Cole & Travis Scott),"397,507"
84,Darlene Love,Christmas (Baby Please Come Home),"395,019"
85,Juice WRLD,Empty,"391,673"
86,YoungBoy Never Broke Again,Make No Sense,"390,292"
87,Juice WRLD,Wasted (feat. Lil Uzi Vert),"389,264"
88,YNW Melly,Murder On My Mind,"388,248"
89,John Lennon,Happy Xmas (War Is Over) - Remastered,"388,209"
90,Travis Scott,SICKO MODE,"385,367"
91,Elvis Presley,Blue Christmas,"384,357"
92,Meek Mill,Going Bad (feat. Drake),"383,782"
93,Post Malone,Enemies (feat. DaBaby),"383,149"
94,Lil Baby,Drip Too Hard (Lil Baby & Gunna),"382,935"
95,Band Aid,Do They Know It's Christmas? - 1984 Version,"382,663"
96,Perry Como,It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra),"380,382"
97,XXXTENTACION,SAD!,"375,589"
98,Lewis Capaldi,Before You Go,"373,856"
99,A Boogie Wit da Hoodie,Swervin (feat. 6ix9ine),"373,167"
100,24kGoldn,VALENTINO,"373,141"
101,Billie Eilish,lovely (with Khalid),"369,181"
102,Juice WRLD,Fast,"367,790"
103,Polo G,Pop Out (feat. Lil Tjay),"365,332"
104,Lil Tjay,F.N,"364,334"
105,YNW Melly,Suicidal,"363,169"
106,Lil Nas X,Panini,"359,472"
107,Sam Smith,How Do You Sleep?,"358,432"
108,The Jackson 5,Santa Claus Is Coming To Town,"358,412"
109,Chuck Berry,Run Rudolph Run - Single Version,"357,899"
110,Khalid,Talk (feat. Disclosure),"355,107"
111,Juice WRLD,Hear Me Calling,"355,046"
112,Taylor Swift,Christmas Tree Farm,"352,737"
113,"Tyler, The Creator",EARFQUAKE,"352,217"
114,Young Thug,Hot (feat. Gunna),"350,115"
115,Future,Fine China,"347,433"
116,Halsey,Graveyard,"343,528"
117,Y2K,Lalala,"342,379"
118,Post Malone,I Fall Apart,"341,781"
119,XXXTENTACION,Jocelyn Flores,"339,860"
120,21 Savage,Immortal,"337,830"
121,Conan Gray,Maniac,"336,988"
122,Trippie Redd,Who Needs Love,"336,192"
123,Trippie Redd,1400 / 999 Freestyle,"335,614"
124,Jonas Brothers,Like It's Christmas,"334,953"
125,Noah Cyrus,July,"332,949"
126,Young Thug,Bad Bad Bad (feat. Lil Baby),"331,124"
127,Halsey,Without Me,"331,075"
128,Camila Cabello,Liar,"329,637"
129,Khalid,Up All Night,"328,579"
130,Post Malone,Better Now,"326,661"
131,Juice WRLD,Feeling,"324,721"
132,PARTYNEXTDOOR,Loyal (feat. Drake),"320,881"
133,Mariah Carey,Christmas (Baby Please Come Home),"320,503"
134,SHAED,Trampoline (with ZAYN),"320,059"
135,Post Malone,rockstar (feat. 21 Savage),"317,921"
136,Jonas Brothers,Sucker,"316,935"
137,Ali Gatie,It's You,"316,711"
138,benny blanco,Roses (with Juice WRLD feat. Brendon Urie),"315,406"
139,Ariana Grande,"thank u, next","315,261"
140,Marshmello,One Thing Right,"313,710"
141,JP Saxe,If The World Was Ending (feat. Julia Michaels),"313,575"
142,Lil Uzi Vert,Sanguine Paradise,"311,805"
143,Sam Smith,Have Yourself A Merry Little Christmas,"311,660"
144,Dean Martin,Let It Snow! Let It Snow! Let It Snow!,"311,014"
145,Chance the Rapper,Hot Shower,"306,938"
146,XXXTENTACION,Ex Bitch,"305,551"
147,Ed Sheeran,I Don't Care (with Justin Bieber),"305,474"
148,Old Dominion,One Man Band,"303,389"
149,Juice WRLD,Hide (feat. Seezyn),"300,343"
150,The Jackson 5,I Saw Mommy Kissing Santa Claus,"299,947"
151,Marshmello,Happier,"297,806"
152,Lil Nas X,Old Town Road - Remix,"297,201"
153,benny blanco,Eastside (with Halsey & Khalid),"296,610"
154,XXXTENTACION,Fuck Love (feat. Trippie Redd),"295,137"
