id,Artist
1,$UICIDEBOY$
2,2 CHAINZ
3,21 SAVAGE
4,21 SAVAGE & METRO BOOMIN
5,22GZ
6,24KGOLDN
7,2KBABY
8,42 DUGG
9,5 SECONDS OF SUMMER
10,50 CENT
11,6IX9INE
12,6LACK
13,A BOOGIE WIT DA HOODIE
14,A$AP ROCKY
15,AC/DC
16,ADELE
17,AKON
18,ALEC BENJAMIN
19,ALESSIA CARA
20,ALEXANDER 23
21,ALI GATIE
22,ALICIA KEYS
23,ALINA BARAZ
24,ALT-J
25,AMINÃ©
26,ANDRA DAY
27,ANUEL AA
28,ANUEL AA & KAROL G
29,"ANUEL AA, DADDY YANKEE & KAROL G"
30,"ARCÃ¡NGEL, SECH & ROMEO SANTOS"
31,ARIANA GRANDE
32,ARIANA GRANDE & JUSTIN BIEBER
33,ARIZONA ZERVAS
34,ASHANTI
35,ASHE
36,ASHLEY MCBRYDE
37,AVA MAX
38,AVICII
39,BABY KEEM
40,BACKSTREET BOYS
41,BAD BUNNY
42,BAD BUNNY & ANUEL AA
43,BAD BUNNY & DADDY YANKEE
44,BAD BUNNY & DON OMAR
45,BAD BUNNY & JHAY CORTEZ
46,BAD BUNNY & MORA
47,BAD BUNNY & MYKE TOWERS
48,BAD BUNNY & NICKY JAM
49,BAD BUNNY & SECH
50,BAD BUNNY & TAINY
51,BAD BUNNY & YANDEL
52,BAD BUNNY & YAVIAH
53,BAD BUNNY & ZION & LENNOX
54,BAD BUNNY & ÃENGO FLOW
55,"BAD BUNNY, DUKI & PABLO CHILL-E"
56,"BAD BUNNY, JOWELL & RANDY & ÃENGO FLOW"
57,"BAD BUNNY, KENDO KAPONI & ARCÃ¡NGEL"
58,BANDA SINALOENSE MS DE SERGIO LIZARRAGA & SNOOP DOGG
59,BARLITO
60,BAZZI
61,BEBE REXHA & FLORIDA GEORGIA LINE
62,BENEE
63,BENNY BLANCO & JUICE WRLD
64,"BENNY BLANCO, HALSEY & KHALID"
65,BEYONCÃ©
66,BIG SEAN
67,BILLIE EILISH
68,BILLIE EILISH & KHALID
69,BLACK EYED PEAS & J BALVIN
70,BLACKBEAR
71,BLAKE SHELTON
72,BLANCO BROWN
73,BLIND.SEE & BRYOZA
74,BLOCBOY JB
75,BOOSIE BADAZZ
76,BRELAND
77,BRENT FAIYAZ
78,BRETT ELDREDGE
79,BRETT YOUNG
80,BROCKHAMPTON
81,BRUNO MARS
82,BRYCE VINE
83,BRYSON TILLER
84,BÃRNS
85,CAGE THE ELEPHANT
86,CALBOY
87,CALUM SCOTT
88,CALVIN HARRIS
89,"CALVIN HARRIS, DUA LIPA"
90,CAMILA CABELLO
91,CARDI B
92,CARDI B & BRUNO MARS
93,"CARDI B, BAD BUNNY & J BALVIN"
94,CARLY PEARCE & LEE BRICE
95,CARRIE UNDERWOOD
96,CHANCE THE RAPPER
97,CHARLI XCX
98,CHASE RICE
99,CHIEF KEEF
100,CHILDISH GAMBINO
101,CHLOE X HALLE
102,CHRIS BROWN
103,CHRIS BROWN & YOUNG THUG
104,CHRIS LANE
105,CHRIS STAPLETON
106,CITY GIRLS
107,CODY JINKS
108,CODY JOHNSON
109,CONAN GRAY
110,COOKIEE KAWAII
111,DABABY
112,DAN + SHAY
113,DAN + SHAY & JUSTIN BIEBER
114,DANIEL CAESAR
115,DANILEIGH
116,DARIUS RUCKER
117,DEAN LEWIS
118,DEMI LOVATO
119,DESTINY'S CHILD
120,DIPLO
