Rank,Artist,Song
1,GUNNA,Argentina
2,DABABY,Rockstar (Feat. Roddy Ricch)
3,GUNNA,Dollaz On My Head (Feat. Young Thug)
4,GUNNA,Blindfold (Feat. Lil Baby)
5,GUNNA,Gimmick
6,GUNNA,Cooler Than A Bitch (Feat. Roddy Rich)
7,DRAKE,Toosie Slide
8,GUNNA,Top Floor (Feat. Travis Scott)
9,GUNNA,Motw
10,GUNNA,Wunna
11,GUNNA,Feigning
12,GUNNA,Wunna
13,GUNNA,Met Gala
14,GUNNA,Addys (Feat. Nechie)
15,GUNNA,Nasty Girl / On Camera
16,GUNNA,Skybox
17,GUNNA,Rockstar Bikers & Chains
18,THE WEEKND,Blinding Lights
19,POLO G,Flex (Feat. Juice Wrld)
20,LADY GAGA & ARIANA GRANDE,Rain On Me
21,GUNNA,I'M On Some
22,GUNNA,Do Better
23,GUNNA,Don'T Play Around
24,FUTURE,Trillionaire (Feat. Youngboy Never Broke Again)
25,GUNNA,Far (Feat. Young Thug)
26,MEGAN THEE STALLION,Savage Remix (Feat. Beyoncã©)
27,DRAKE,Chicago Freestyle (Feat. Giveon)
28,RODDY RICCH,The Box
29,"THE SCOTTS, TRAVIS SCOTT & KID CUDI",The Scotts
30,FUTURE,Solitaires (Feat. Travis Scott)
31,FUTURE,Life Is Good (Feat. Drake)
32,POLO G,Martin & Gina
33,6IX9INE,Gooba
34,POLO G,21
35,MIGOS,Need It (Feat. Youngboy Never Broke Again)
36,LIL BABY & 42 DUGG,We Paid
37,LIL DURK,3 Headed Goat (Feat. Lil Baby & Polo G)
38,JACK HARLOW,Whats Poppin
39,STAYSOLIDROCKY,Party Girl
40,CHRIS BROWN & YOUNG THUG,Go Crazy
41,LIL BABY,Sum 2 Prove
42,LIL MOSEY,Blueberry Faygo
43,POLO G,Be Something (Feat. Lil Baby)
44,LIL BABY,Emotionally Scarred
45,FUTURE,Trapped In The Sun
46,KEY GLOCK,Rich Blessed N Savage
47,KEY GLOCK,Son Of A Gun
48,ARIANA GRANDE & JUSTIN BIEBER,Stuck With U
49,"POLO G, STUNNA 4 VEGAS & NLE CHOPPA",Go Stupid (Feat. Mike Will Made-It)
50,FUTURE,All Bad (Feat. Lil Uzi Vert)
51,FUTURE,Too Comfortable
52,FUTURE,Ridin Strikers
53,KEHLANI,Can I (Feat. Tory Lanez)
54,RODDY RICCH,High Fashion (Feat. Mustard)
55,POLO G,33
56,FUTURE,Hard To Choose One
57,LIL BABY,Woah
58,SAINT JHN,Roses (Imanbek Remix)
59,MUSTARD & RODDY RICCH,Ballinâ
60,LIL BABY,All In
61,DON TOLIVER,After Party
62,LIL BABY & 42 DUGG,Grace
63,FUTURE,Hitek Tek
64,NLE CHOPPA,Walk Em Down (Feat. Roddy Ricch)
65,POLO G,I Know
66,LIL BABY,Commercial (Feat. Lil Uzi Vert)
67,DRAKE,Pain 1993 (Feat. Playboi Carti)
68,JUSTIN BIEBER,Intentions (Feat. Quavo)
69,FUTURE,Posted With Demons
70,POLO G,Don'T Believe The Hype
71,POLO G,Beautiful Pain (Losin My Mind)
72,DRAKE,Desires (Feat. Future)
73,DRAKE,Time Flies
74,POLO G,Heartless (Feat. Mustard)
75,DABABY,Jump (Feat. Youngboy Never Broke Again)
76,KEY GLOCK,Fytb
77,FUTURE,One Of My
