Rank,Artist,Song
1,ARIANA GRANDE & JUSTIN BIEBER,Stuck With U
2,DOJA CAT FEATURING NICKI MINAJ,Say So
3,6IX9INE,Gooba
4,THE WEEKND,Blinding Lights
5,MEGAN THEE STALLION FEATURING BEYONCE,Savage
6,DRAKE,Toosie Slide
7,RODDY RICCH,The Box
8,DABABY FEATURING RODDY RICCH,Rockstar
9,DUA LIPA,Don'T Start Now
10,POST MALONE,Circles
11,JUSTIN BIEBER FEATURING QUAVO,Intentions
12,HARRY STYLES,Adore You
13,FUTURE FEATURING DRAKE,Life Is Good
14,MAREN MORRIS,The Bones
15,"THE SCOTTS, TRAVIS SCOTT & KID CUDI",The Scotts
16,SAINT JHN,Roses (Imanbek Remix)
17,CAMILA CABELLO FEATURING DABABY,My Oh My
18,LEWIS CAPALDI,Someone You Loved
19,BILLIE EILISH,Everything I Wanted
20,LIL MOSEY,Blueberry Faygo
21,MORGAN WALLEN,Chasin' You
22,TREVOR DANIEL,Falling
23,GABBY BARRETT,I Hope
24,MAROON 5,Memories
25,BLAKE SHELTON DUET WITH GWEN STEFANI,Nobody But You
26,RODDY RICCH FEATURING MUSTARD,High Fashion
27,POWFU FEATURING BEABADOOBEE,Death Bed
28,LUKE COMBS FEATURING ERIC CHURCH,Does To Me
29,SURFACES,Sunday Best
30,THE BLACK EYED PEAS X J BALVIN,Ritmo (Bad Boys For Life)
31,DUA LIPA,Break My Heart
32,JACK HARLOW,Whats Poppin
33,MARSHMELLO & HALSEY,Be Kind
34,CARLY PEARCE & LEE BRICE,I Hope You'Re Happy Now
35,BLACKBEAR,Hot Girl Bummer
36,THOMAS RHETT FEATURING JON PARDI,Beer Can'T Fix
37,LEWIS CAPALDI,Before You Go
38,TRAVIS DENNING,After A Few
39,BENEE FEATURING GUS DAPPERTON,Supalonely
40,ROD WAVE,Heart On Ice
41,MUSTARD & RODDY RICCH,Ballin'
42,TONES AND I,Dance Monkey
43,LIL DURK FEATURING LIL BABY & POLO G,3 Headed Goat
44,SAM HUNT,Hard To Forget
45,LIL BABY,Sum 2 Prove
46,DRAKE FEATURING GIVEON,Chicago Freestyle
47,TWENTY ONE PILOTS,Level Of Concern
48,STAYSOLIDROCKY,Party Girl
49,JUICE WRLD,Righteous
50,KEHLANI FEATURING TORY LANEZ,Can I
51,DRAKE FEATURING PLAYBOI CARTI,Pain 1993
52,NLE CHOPPA FEATURING RODDY RICCH,Walk Em Down
53,POP SMOKE,Dior
54,THE WEEKND,In Your Eyes
55,LIL BABY & 42 DUGG,We Paid
56,LIL BABY,Emotionally Scarred
57,MIRANDA LAMBERT,Bluebird
58,DIPLO PRESENTS THOMAS WESLEY FEATURING MORGAN WALLEN,Heartless
59,KENNY CHESNEY,Here And Now
60,"NAV, GUNNA & TRAVIS SCOTT",Turks
61,JP SAXE FEATURING JULIA MICHAELS,If The World Was Ending
62,REGARD,Ride It.
63,DON TOLIVER,After Party
64,BAD BUNNY,Yo Perreo Sola
65,LIL TJAY FEATURING FIVIO FOREIGN & POP SMOKE,Zoo York
66,JHENE AIKO,P*$$Y Fairy (Otw)
67,JACKBOYS FEATURING YOUNG THUG,Out West
68,KEHLANI,Toxic
69,LUKE BRYAN,One Margarita
70,PARTYNEXTDOOR & RIHANNA,Believe It
71,SAM SMITH & DEMI LOVATO,I'M Ready
72,SCOTTY MCCREERY,In Between
73,INGRID ANDRESS,More Hearts Than Mine
74,FLORIDA GEORGIA LINE,I Love My Country
75,DEMI LOVATO,I Love Me
76,CHRIS BROWN & YOUNG THUG,Go Crazy
77,"FUTURE, DRAKE & YOUNG THUG",D4L
78,EMINEM FEATURING JUICE WRLD,Godzilla
79,LIL BABY,All In
80,KEHLANI FEATURING JHENE AIKO,Change Your Life
81,KEITH URBAN,God Whispered Your Name
82,MADDIE & TAE,Die From A Broken Heart
83,BRETT YOUNG,Catch
84,YOUNG T & BUGSEY FEATURING HEADIE ONE,Don'T Rush
85,DRAKE FEATURING FUTURE,Desires
86,"THOMAS RHETT FEATURING REBA MCENTIRE, HILLARY SCOTT, CHRIS TOMLIN & KEITH URBAN",Be A Light
87,DABABY FEATURING YOUNGBOY NEVER BROKE AGAIN,Jump
88,MONEYBAGG YO,Me Vs Me
89,CARRIE UNDERWOOD,Drinking Alone
90,LUKE COMBS,Six Feet Apart
91,LIL DURK,Viral Moment
92,ARCANGEL X SECH,Sigues Con El
93,JAKE OWEN,Homemade
94,DRAKE,Time Flies
95,LIL BABY & 42 DUGG,Grace
96,JORDAN DAVIS,Slow Dance In A Parking Lot
97,HALSEY,You Should Be Sad
98,LIL UZI VERT,That Way
99,DRAKE FEATURING FIVIO FOREIGN & SOSA GEEK,Demons
100,NOAH CYRUS & LEON BRIDGES,July
