id,Artist
1,$UICIDEBOY$
2,2 CHAINZ
3,21 SAVAGE
4,21 SAVAGE & METRO BOOMIN
5,24KGOLDN
6,2KBABY
7,2PAC
8,42 DUGG
9,5 SECONDS OF SUMMER
10,50 CENT
11,6IX9INE
12,6LACK
13,A BOOGIE WIT DA HOODIE
14,A$AP ROCKY
15,AC/DC
16,ADELE
17,AGUST D
18,ALEC BENJAMIN
19,ALESSIA CARA
20,ALEXANDER 23
21,ALI GATIE
22,ALICIA KEYS
23,ALINA BARAZ
24,ALT-J
25,AMINÃ©
26,ANDRA DAY
27,ANUEL AA
28,ANUEL AA & KAROL G
29,"ANUEL AA, DADDY YANKEE & KAROL G"
30,ARCANGEL X SECH
31,"ARCÃ¡NGEL, SECH & ROMEO SANTOS"
32,ARIANA GRANDE
33,ARIANA GRANDE & JUSTIN BIEBER
34,ARIZONA ZERVAS
35,ASHANTI
36,ASHE
37,ASHLEY MCBRYDE
38,AVA MAX
39,AVICII
40,BABY KEEM
41,BACKSTREET BOYS
42,BAD BUNNY
43,BAD BUNNY & ANUEL AA
44,BAD BUNNY & DADDY YANKEE
45,BAD BUNNY & DON OMAR
46,BAD BUNNY & JHAY CORTEZ
47,BAD BUNNY & MORA
48,BAD BUNNY & MYKE TOWERS
49,BAD BUNNY & NICKY JAM
50,BAD BUNNY & SECH
51,BAD BUNNY & TAINY
52,BAD BUNNY & YANDEL
53,BAD BUNNY & YAVIAH
54,BAD BUNNY & ZION & LENNOX
55,BAD BUNNY & ÃENGO FLOW
56,"BAD BUNNY, DUKI & PABLO CHILL-E"
57,"BAD BUNNY, JOWELL & RANDY & ÃENGO FLOW"
58,"BAD BUNNY, KENDO KAPONI & ARCÃ¡NGEL"
59,BANDA MS DE SERGIO LIZÃ¡RRAGA & SNOOP DOGG
60,BAZZI
61,BEBE REXHA & FLORIDA GEORGIA LINE
62,BENEE
63,BENEE FEATURING GUS DAPPERTON
64,BENNY BLANCO & JUICE WRLD
65,"BENNY BLANCO, HALSEY & KHALID"
66,BEYONCÃ©
67,BIG SEAN
68,BILLIE EILISH
69,BILLIE EILISH & KHALID
70,BLACK EYED PEAS & J BALVIN
71,BLACKBEAR
72,BLAKE SHELTON
73,BLAKE SHELTON DUET WITH GWEN STEFANI
74,BLANCO BROWN
75,BLIND.SEE & BRYOZA
76,BLOCBOY JB
77,BOOSIE BADAZZ
78,BRELAND
79,BRENT FAIYAZ
80,BRETT ELDREDGE
81,BRETT YOUNG
82,BROCKHAMPTON
83,BRUNO MARS
84,BRYCE VINE
85,BRYSON TILLER
86,BÃRNS
87,CAGE THE ELEPHANT
88,CALBOY
89,CALUM SCOTT
90,CALVIN HARRIS
91,"CALVIN HARRIS, DUA LIPA"
92,CAMILA CABELLO
93,CAMILA CABELLO FEATURING DABABY
94,CARDI B
95,CARDI B & BRUNO MARS
96,"CARDI B, BAD BUNNY & J BALVIN"
97,CARLY PEARCE & LEE BRICE
98,CARRIE UNDERWOOD
99,CHANCE THE RAPPER
100,CHARLI XCX
101,CHASE RICE
102,CHIEF KEEF
103,CHILDISH GAMBINO
104,CHLOE X HALLE
105,CHRIS BROWN
106,CHRIS BROWN & YOUNG THUG
107,CHRIS JANSON
108,CHRIS LANE
109,CHRIS STAPLETON
110,CITY GIRLS
111,CODY JINKS
112,CODY JOHNSON
113,CONAN GRAY
114,COOKIEE KAWAII
115,DABABY
116,DABABY FEATURING RODDY RICCH
